,designation,period,provenience,museum_no
P405166,"BagM 31, 099 272",Old Babylonian,Uruk (mod. Warka),uncertain
P405167,"BagM 31, 100 273",Old Babylonian,Uruk (mod. Warka),uncertain
P405168,"BagM 31, 102 280",Old Babylonian,Uruk (mod. Warka),uncertain
P405169,"BagM 31, 103 282",Old Babylonian,Uruk (mod. Warka),uncertain
P405170,"BagM 31, 104 284",Old Babylonian,Uruk (mod. Warka),uncertain
P405171,"BagM 31, 106 292",Old Babylonian,Uruk (mod. Warka),uncertain
P405172,"BagM 31, 106-107 293",Old Babylonian,Uruk (mod. Warka),uncertain
P405173,"BagM 31, 107 295",Old Babylonian,Uruk (mod. Warka),uncertain
P405174,"BagM 31, 110 300",Old Babylonian,Uruk (mod. Warka),uncertain
P405175,"BagM 31, 111 302",Old Babylonian,Uruk (mod. Warka),uncertain
P405176,"BagM 31, 112 303",Old Babylonian,Uruk (mod. Warka),uncertain
P405177,"BagM 31, 114 306",Old Babylonian,Uruk (mod. Warka),uncertain
P405178,"BagM 31, 115-116 308",Old Babylonian,Uruk (mod. Warka),uncertain
P405179,"BagM 31, 120 316",Old Babylonian,Uruk (mod. Warka),uncertain
P405180,"BagM 31, 126-127  322",Old Babylonian,Uruk (mod. Warka),uncertain
P405181,"BagM 31, 127 323",Old Babylonian,Uruk (mod. Warka),uncertain
P405182,"BagM 31, 127 324",Old Babylonian,Uruk (mod. Warka),uncertain
P405183,"BagM 31, 128 326",Old Babylonian,Uruk (mod. Warka),uncertain
P405185,"BagM 31, 129 328",Old Babylonian,Uruk (mod. Warka),uncertain
P405186,"BagM 31, 130 330",Old Babylonian,Uruk (mod. Warka),uncertain
P405187,"BagM 31, 131 331",Old Babylonian,Uruk (mod. Warka),uncertain
P405188,"BagM 31, 132-133 334",Old Babylonian,Uruk (mod. Warka),uncertain
P405189,"BagM 31, 135 338",Old Babylonian,Uruk (mod. Warka),uncertain
P405190,"BagM 31, 136 340",Old Babylonian,Uruk (mod. Warka),uncertain
P405191,"BagM 31, 138 343",Old Babylonian,Uruk (mod. Warka),uncertain
P405192,"BagM 31, 138-139 344",Old Babylonian,Uruk (mod. Warka),uncertain
P405193,"BagM 31, 139 345",Old Babylonian,Uruk (mod. Warka),uncertain
P405194,"BagM 31, 140 347",Old Babylonian,Uruk (mod. Warka),uncertain
P405195,"BagM 31, 142 351",Old Babylonian,Uruk (mod. Warka),uncertain
P405196,"BagM 31, 142 352",Old Babylonian,Uruk (mod. Warka),uncertain
P405197,"BagM 31, 143-144 356",Old Babylonian,Uruk (mod. Warka),uncertain
P405198,"BagM 31, 145 359",Old Babylonian,Uruk (mod. Warka),uncertain
P405199,"BagM 31, 146 362",Old Babylonian,Uruk (mod. Warka),uncertain
P405200,"BagM 31, 146-147 363",Old Babylonian,Uruk (mod. Warka),uncertain
P405201,"BagM 31, 148 366",Old Babylonian,Uruk (mod. Warka),uncertain
P405203,"BagM 31, 152 374",Old Babylonian,Uruk (mod. Warka),uncertain
P405204,"BagM 31, 155 383",Old Babylonian,Uruk (mod. Warka),uncertain
P405205,"RA 80 , 070",Old Babylonian,Uruk (mod. Warka),FLP 1681
P405206,"SANER 2, 08",Old Babylonian,Uruk (mod. Warka),FLP 1686
P405207,"SANER 2, 19",Old Babylonian,Uruk (mod. Warka),FLP 1690
P405208,"SANER 2, 23",Old Babylonian,Uruk (mod. Warka),FLP 1691
P405209,"SANER 2, 24",Old Babylonian,Uruk (mod. Warka),FLP 1692
P405210,"SANER 2, 12",Old Babylonian,Uruk (mod. Warka),FLP 1707
P405211,"SANER 2, 07",Old Babylonian,Uruk (mod. Warka),FLP 1710
P405212,"SANER 2, 05",Old Babylonian,Uruk (mod. Warka),FLP 1715
P405213,"SANER 2, 18",Old Babylonian,Uruk (mod. Warka),FLP 1718
P405214,"SANER 2, 09",Old Babylonian,Uruk (mod. Warka),FLP 1719
P405215,"SANER 2, 17",Old Babylonian,Uruk (mod. Warka),FLP 1729
P405216,"SANER 2, 14",Old Babylonian,Uruk (mod. Warka),FLP 1792
P405217,"SANER 2, 04",Old Babylonian,Uruk (mod. Warka),FLP 1859
P405218,"SANER 2, 16",Old Babylonian,Uruk (mod. Warka),FLP 1867
P405219,"SANER 2, 06",Old Babylonian,Uruk (mod. Warka),FLP 1909
P405220,"SANER 2, 01",Old Babylonian,Uruk (mod. Warka),FLP 1917
P405221,"SANER 2, 13",Old Babylonian,Uruk (mod. Warka),FLP 2017
P405222,"SANER 2, 15",Old Babylonian,Uruk (mod. Warka),FLP 2040
P405223,"SANER 2, 10",Old Babylonian,Uruk (mod. Warka),FLP 2044
P405224,"SANER 2, 20",Old Babylonian,Uruk (mod. Warka),FLP 2066
P405225,"SANER 2, 03",Old Babylonian,Uruk (mod. Warka),FLP 2094
P405226,"SANER 2, 02",Old Babylonian,Uruk (mod. Warka),FLP 2213
P405227,"SANER 2, 21",Old Babylonian,Uruk (mod. Warka),FLP 2249
P405228,"SANER 2, 22",Old Babylonian,Uruk (mod. Warka),FLP 2358
P405229,"MCS 7, 03 Liv 51 63 11",Old Babylonian,Uruk (mod. Warka),WML 51.63.011
P405230,"SANER 2, 34",Old Babylonian,Uruk (mod. Warka),MLC 00838
P405231,"SANER 2, 37",Old Babylonian,Uruk (mod. Warka),MLC 00842
P405232,"SANER 2, 40",Old Babylonian,Uruk (mod. Warka),MLC 00843
P405233,"SANER 2, 38",Old Babylonian,Uruk (mod. Warka),MLC 00844
P405234,"SANER 2, 30",Old Babylonian,Uruk (mod. Warka),MLC 00845
P405235,"SANER 2, 36",Old Babylonian,Uruk (mod. Warka),MLC 00847
P405236,"SANER 2, 31",Old Babylonian,Uruk (mod. Warka),MLC 01005
P405237,"SANER 2, 32",Old Babylonian,Uruk (mod. Warka),MLC 01587
P405238,"SANER 2, 41",Old Babylonian,Uruk (mod. Warka),MLC 01590
P405239,"SANER 2, 42",Old Babylonian,Uruk (mod. Warka),MLC 01591
P405240,"SANER 2, 33",Old Babylonian,Uruk (mod. Warka),MLC 01592
P405241,"SANER 2, 35",Old Babylonian,Uruk (mod. Warka),MLC 01621
P405242,"SANER 2, 29",Old Babylonian,Uruk (mod. Warka),MLC 02565
