,designation,period,provenience,museum_no,accession_no,excavation_no
P230728,CBS 03867,Old Babylonian,Nippur,CBS 03867,,
P230731,"PBS 12, 33",Old Babylonian,Nippur,CBS 04614,,
P230732,CBS 06760,Old Babylonian,Nippur,CBS 06760,,
P230733,CBS 06815,Old Babylonian,Nippur,CBS 06815,,
P230734,CBS 06822,Old Babylonian,Nippur,CBS 06822,,
P230735,CBS 06826,Old Babylonian,Nippur,CBS 06826,,
P230737,CBS 06858,Old Babylonian,Nippur,CBS 06858,,
P230738,CBS 07297,Old Babylonian,Nippur,CBS 07297,,
P230739,"MCT 036, CBS 07356",Old Babylonian,uncertain,CBS 07356,,
P230740,CBS 07971,Old Babylonian,Nippur,CBS 07971,,
P230741,CBS 08020,Old Babylonian,Nippur,CBS 08020,newpenn,
P230742,CBS 08033,Old Babylonian,Nippur,CBS 08033,,
P230743,CBS 08174,Old Babylonian,Nippur,CBS 08174,newpenn,
P230744,CBS 08311,Old Babylonian,Nippur,CBS 08311,,
P230746,CBS 08437,Old Babylonian,Nippur,CBS 08437,,
P230747,CBS 06758 + CBS 08783,Old Babylonian,Nippur,CBS 06758 + CBS 08783,,
P230748,CBS 09269,Old Babylonian,Nippur,CBS 09269,,
P230749,CBS 09852 + CBS 09867 + CBS 09872 + CBS 13379 + N 4581 + N 4737,Old Babylonian,Nippur,CBS 09852 + CBS 09867 + CBS 09872 + CBS 13379 + N 4581 + N 4737,,
P230750,CBS 10236,Old Babylonian,Nippur,CBS 10236,,
P230751,CBS 10288,Old Babylonian,Nippur,CBS 10288,,
P230752,CBS 10327,Old Babylonian,Nippur,CBS 10327,,
P230753,CBS 10328,Old Babylonian,Nippur,CBS 10328,,
P230754,CBS 10372,Old Babylonian,Nippur,CBS 10372,,
P230756,"OIP 016, 086",Old Babylonian,Nippur,CBS 11785,,
P230757,CBS 11965,Old Babylonian,Nippur,CBS 11965,,
P230758,CBS 11985,Old Babylonian,Nippur,CBS 11985,,
P230759,CBS 12749,Old Babylonian,Nippur,CBS 12749,,
P230760,CBS 13882,Old Babylonian,Nippur,CBS 13882,,
P230761,CBS 13903 + N 3197A,Old Babylonian,Nippur,CBS 13903 + N 3197A,,
P230762,CBS 15011,Old Babylonian,Nippur,CBS 15011,,
P230763,UM 29-15-374,Old Babylonian,Nippur,UM 29-15-374,,
P230764,CBS 07919,Old Babylonian,Nippur,CBS 07919,,
P230765,UM 29-16-482,Old Babylonian,Nippur,UM 29-16-482,,
P230766,UM 29-16-632,Old Babylonian,Nippur,UM 29-16-632,,
P230767,N 0986,Old Babylonian,Nippur,N 0986,,
P230768,N 1318,Old Babylonian,Nippur,N 1318,,
P230769,N 1335,Old Babylonian,Nippur,N 1335,,
P230770,N 1533,Old Babylonian,Nippur,N 1533,,
P230771,N 2110,Old Babylonian,Nippur,N 2110,,
P230772,N 2563,Old Babylonian,Nippur,N 2563,,
P230774,"SLFN 75, 3N-T903, 101",Old Babylonian,Nippur,,,"3N-T0903, 101"
P230775,N 3653,Old Babylonian,Nippur,N 3653,,
P230776,N 4058,Old Babylonian,Nippur,N 4058,,
P230777,N 4159,Old Babylonian,Nippur,N 4159,,
P230778,N 4639,Old Babylonian,Nippur,N 4639,,
P230779,N 4726,Old Babylonian,Nippur,N 4726,,
P230780,N 4783,Old Babylonian,Nippur,N 4783,,
P230781,"SLFN 73, 3N-T903, 116",Old Babylonian,Nippur,,,"3N-T0903, 116"
