,id_line,label,lemma,base
92,Q000767.59,59,sux:anaš[why?]QP sux:ŋaʾe[I]IP sux:gabari[copy]N sux:me[be]V/i,a-na-aš ŋa₂-e gaba-ri me
93,Q000767.6,6,sux:ara[times]N sux:igi[~mathematics]N sux:dirig[excess]N sux:niŋkas[account]N sux:sahar[dust]N sux:ŋar[place]V/t sux:zag[side]N sux:zu[know]V/t,a-ra₂ igi dirig niŋ₂-kas₇ sahar ŋar zag zu
94,Q000767.60,60,sux:lu₂.IM[criminal]N sux:lul[false]V/i sux:dug[speak]V/t sux:ragaba[rider]N sux:ki[place]N sux:bad[open]V/t,lu₂-tumu lul dug₄-dug₄ ra-gaba ki bad
95,Q000767.61,61,sux:gud[ox]N sux:sa[sinew]N sux:kud[cut]V/t sux:šudul[yoke]N sux:nud[lie]V/i,gud sa kud-kud {ŋeš}šudul₅ nu₂-nu₂
96,Q000767.62,62,sux:gud[ox]N sux:gu[voice]N sux:rah[beat]V/t sux:bir[scatter]V/t sux:zir[break]V/t,gud gu₃ ra-ah bir-bir zi-ir-zi-ir
97,Q000767.63,63,sux:geme[worker]N sux:šukud[fisherman]N sux:ban[unit]N sux:ud[sun]N sux:zal[pass]V/t,geme₂ šu-ku₆ {ŋeš}ba-an ud zal-zal
98,Q000767.64,64,sux:saŋ[head]N sux:lu₂.IM[criminal]N sux:udun[kiln]N sux:bahar[potter]N sux:nud[lie]V/i,saŋ lu₂-tumu udun bahar₂ nu₂-nu₂
99,Q000767.65,65,sux:šaŋanla[trader]N sux:kug[metal]N sux:damgar[merchant]N sux:til[complete]V/i,šaŋan-la₂ kug dam-gar₃ til-til
100,Q000767.66,66,sux:lu[person]N sux:kurun[beer]N sux:zidmunu[ration]N sux:gu[eat]V/t,lu₂ kurun₂ zid₂-munu₄ gu₇-gu₇
101,Q000767.67,67,sux:kiši[half]N sux:ak[do]V/t sux:ŋen[go]V/i sux:lu[person]N sux:šed[defecate]V/t sux:sila[street]N sux:bar[outside]V/t,kiši₄ ak ŋa₂ lu₂ šed₆ sila bar-bar
102,Q000767.68,68,sux:galam[skilful]V/i sux:hurum[child]N sux:uš[poison]N sux:zaga[part-of-the-face]N sux:bar[outside]V/t,galam hu-ru-um uš₁₁ zag-ga bar-bar
103,Q000767.69,69,sux:ana[what?]QP sux:zaʾe[you]IP sux:ŋaʾe[I]IP sux:sa[equal]V/t,a-na za-e ŋe₂₆ sa₂
104,Q000767.7,7,sux:kaʾinima[formula]N sux:namdumu[status]N sux:edubbaʾa[scribal-school]N,ka-inim-ma nam-dumu e₂-dub-ba-a
105,Q000767.70,70,sux:lunisub[ecstatic]N sux:lu₂.IM[criminal]N sux:dimma[thought]N sux:ugubi[monkey]N,ni₂-su-ub lu₂-tumu dim₂-ma {+ugu}ugu₄-bi
106,Q000767.71,71,sux:e[house]N sux:tuku[acquire]V/t sux:esir[street]N sux:nud[lie]V/i,e₂ tuku e-sir₂ nu₂-nu₂
107,Q000767.72,72,sux:šurin[oven]N sux:namlulu[humanity]N sux:zidmunu[ration]N sux:barag[spread]V/t,{im}šu-rin nam-lu₂-u₁₈-lu zid₂-munu₄ barag₂-barag₂
108,Q000767.73,73,sux:utul[tureen]N sux:arzana[groats]N sux:šurin[oven]N sux:ed[ascend]V/i,{dug}utul₂ ar-za-na {im}šu-rin ed₃
109,Q000767.74,74,sux:gaz[kill]V/t sux:tu[soup]N sux:bil[burn]V/t,gaz tu₇ bil₂
110,Q000767.75,75,sux:masila[heel]N sux:sasal[back]N sux:su[flesh]N sux:zil[boil]V/i,{uzu}ma-sila₃ sa-sal su sil₂-sil₂
111,Q000767.76,76,sux:gigur[container]N sux:nisig[greenery]N sux:zu[tooth]N sux:rah[beat]V/t,gi-gur nisig zu₂ ra-ah
112,Q000767.77,77,sux:gigur[container]N sux:šukud[fisherman]N sux:kud[fish]N sux:kar[flee]V/t,gi-gur šu-ku₆-d·a ku₆ kar-kar
113,Q000767.78,78,sux:ud[sun]N sux:didli[several]AJ sux:ŋešba[fist]N sux:dagum[unmng]N sux:igi[eye]N sux:kiri[nose]N sux:gud[jump]V/t,ud didli ŋešpu₂ da-gum igi kiri₃ gud-gu₄-ud
114,Q000767.79,79,sux:gabsa[buyer]N sux:šakanka[market]N sux:lu[person]N sux:še[barley]N sux:sa[roast]V/t,ga-ab-sa₁₀ šakanka lu₂ še sa-sa
115,Q000767.8,8,sux:šid[count]V/t sux:dirig[excess]N sux:zu[know]V/t,šid dirig zu
116,Q000767.80,80,sux:lunisub[ecstatic]N sux:igi[face]N sux:kar[flee]V/t,lu₂-ni₂-su-ub-ba igi kar-kar
117,Q000767.81,81,sux:udun[kiln]N sux:bahar[potter]N sux:gur[thick]V/i,udun bahar₂ gur₄-gur₄
118,Q000767.82,82,sux:gumur[spine]N sux:zag[side]N sux:gudu[buttocks]N,gu₂-mur₇ zag gu-du
119,Q000767.83,83,sux:zukešed[troops]N sux:sim[carbuncle]N sux:si[fill]V/t,zu₂-keš₂ simₓ(GIG) si-si
120,Q000767.84,84,sux:bisaŋ[basket]N sux:ninda[bread]N sux:kurum[ration]N sux:lukur[priestess]N sux:šub[fall]V/t,{gi}bisaŋ ninda kurum₆ lukur šub
121,Q000767.85,85,sux:geme[worker]N sux:lukur[priestess]N sux:tur[small]V/i,geme₂ lukur tur-tur
