,id_line,label,lemma,base
0,Q000767.1,1,dumu[child]N edubbaʾa[scribal-school]N ud[sun]N ul[distant]V/i ŋen[go]V/i gana[come-on!]J sa[equal]V/t,dumu e₂-dub-ba-a ud ul ŋa₂ ga-na sa₂-sa₂
1,Q000767.10,10,lu₂.IM[criminal]N u[cvne]N hub[cvve]V/t ŋeštug[ear]N la[hang]V/t,lu₂-tumu u₂ hub₂ ŋeštug₂ la₂
2,Q000767.100,100,ugu[skull]N imhur[foam]N sag[beat]V/t,ugu imhur₄ sag₃-sag₃
3,Q000767.101,101,gu[neck]N ki[place]N ŋar[place]V/t,gu₂ ki ŋar
4,Q000767.102,102,ni[self]RP šu[hand]N zu[know]V/t kar[blow]V/t,ni₂ šu zu kar₂
5,Q000767.103,103,niŋ[thing]N gu[eat]V/t šu[hand]N paphala[restless]AJ zig[rise]V/t,niŋ₂ gu₇ šu pap-hal-la zi-zi-i
6,Q000767.104,104,emeš[summer]N inim[word]N ŋissu[shade]N niŋin[encircle]V/t,e₂-me-eš inim ŋissu niŋin
7,Q000767.105,105,ud[sun]N sed[cold]V/i inim[word]N gaba[chest]N ud[sun]N niŋin[encircle]V/t,ud sed inim gaba ud niŋin
8,Q000767.106,106,lu₂.IM[criminal]N saŋ[head]N gu[neck]N ne[brazier]N nud[lie]V/i,lu₂-tumu saŋ gu₂ ne nu₂-nu₂
9,Q000767.107,107,bala[turn]V/t ašuŋiri[limbs]N kud[cut]V/t kuš[skin]N sil[split]V/t,bala-bala a₂-šu-ŋiri₃ kud kuš sil₂-sil₂
10,Q000767.108,108,e[house]N burud[perforate]V/t dun[dig]V/t dug[speak]V/t,e₂ bur₃-bur₃ dun dug₄-dug₄
11,Q000767.109,109,anaš[why?]QP gabal[fight]N du[build]V/t,a-na-aš ga-ba-al du₃-du₃
12,Q000767.11,11,ŋeš[penis]N gudu[buttocks]N kešed[bind]V/t šir[testicle]N dili[single]V/i tulu[slacken]V/t,ŋeš₃ gu-du keš₂ šir dili tu-lu
13,Q000767.110,110,in[abuse]N dub[tremble]V/t su[flesh]N ŋal[be]V/i,in dub₂ su ŋal₂
14,Q000767.111,111,ŋen[go]V/i esir[street]N e[leave]V/i,ŋa₂ e-sir₂ e₃
15,Q000767.112,112,lu[person]N zu[know]V/t igi[eye]N duh[loosen]V/t,lu₂ zu igi du₈
16,Q000767.113,113,naŋah[fool]N me[be]V/i egir[back]N inim[word]N zu[know]V/t,na-ŋa₂-ah me egir inim zu
17,Q000767.114,114,lu[person]N sikildua[insulting]AJ me[be]V/i niŋnam[anything]N zu[know]V/t,lu₂ sikil-du₃-a me niŋ₂-nam zu
18,Q000767.115,115,ishab[rogue]N di[speak]V/t taka[abandon]V/t me[be]V/i,is-hab di taka₄-taka₄ me
19,Q000767.116,116,lu[person]N saŋ[head]N gi[turn]V/i inim[word]N dab[seize]V/t,lu₂ saŋ gi₄ inim dab₅
20,Q000767.117,117,lu[person]N gu[voice]N rah[beat]V/t šag[heart]N didal[ashes]N nud[lie]V/i,lu₂ gu₃ ra-ah šag₄ de₃ nu₂-nu₂
21,Q000767.118,118,lu[person]N šaŋar[starvation]N ninda[bread]N kar[flee]V/t,lu₂ ša₃-ŋar ninda kar-kar
22,Q000767.119,119,lu[person]N dab[seize]V/t bisaŋ[basket]N e[house]N diŋir[deity]N saŋ-bur₂-bi[NA]NA kal[rare]V/i,lu₂ dab₅ {gi}bisaŋ e₂ diŋir saŋ-bur₂-bi kal
23,Q000767.12,12,meze[jaw]N gid[long]V/i nundum[lip]N gur[thick]V/i ib[hips]N kud[cut]V/t gudu[buttocks]N ku-da[NA]NA,me-ze₂ gid₂ nundum gur₁₄ ib₂ kud gu-du ku-da
24,Q000767.120,120,zeza[croaker]N gu[voice]N de[pour]V/t daggi[quarter]N lu[mix]V/t,ze₂-za gu₃ de₂-de₂ dag-gi lu₃-lu₃
25,Q000767.121,121,lu[person]N pel[defile]V/t teš[vigor]N tuku[acquire]V/t zu[know]V/t,lu₂ pe-el teš₂ tuku-tuku zu
26,Q000767.122,122,lu[person]N kar[insult]V/t niŋ₂-ur₂-ra[NA]NA gu[eat]V/t,lu₂ kara₂-g·a niŋ₂-ur₂-ra gu₇-gu₇
27,Q000767.123,123,lu[person]N saŋ.DU[smitten-person]N dumu[child]N lu[person]N zu[know]V/t,lu₂ saŋ-DU dumu lu₂ zu
28,Q000767.124,124,kimanzer[locus]N lu[person]N kal[rare]V/i zu[know]V/t,ki-ma-an-ze₂-er lu₂ kal zu
29,Q000767.125,125,ursaŋ[hero]N gub[stand]V/i šu[hand]N la[hang]V/t,ur-saŋ gub šu la₂
30,Q000767.126,126,gub[stand]V/i gin[firm]V/i tuš[sit]V/i sag[good]V/i,gub ge-en tuš sag₉
31,Q000767.127,127,šid[count]V/t ul[hasten]V/i sar[write]V/t šu[hand]N ur[drag]V/t,šid ul₄ sar šu ur₃
32,Q000767.128,128,niŋ[thing]N sar[write]V/t gu[voice]N de[pour]V/t,niŋ₂ sar gu₃ de₂
33,Q000767.129,129,dugud[heavy]V/i sar[write]V/t šu[hand]N zuhul[pierce]V/t,dugud sar šu zu-hu-ul
34,Q000767.13,13,ŋaʾe[I]IP dim[create]V/t,ŋa₂-e dim₂
35,Q000767.130,130,šid[count]V/t du[suitable]V/i sar[write]V/t mete[appropriate-thing]N nu[not]V/i,šid du₇ sar me-te nu
36,Q000767.131,131,dub[tablet]N tur[small]V/i ul[hasten]V/i til[complete]V/i,dub tur ul₄ til
37,Q000767.132,132,kigub[station]N ugu[cvne]N de[pour]V/t,ki-gub-ba u₂-gu de₂
38,Q000767.133,133,kituš[dwelling]N bir[scatter]V/t,ki-tuš bir-bir
39,Q000767.134,134,dimma[thought]N šub[fall]V/t gu[voice]N ab-ta-giri₁₁-da[NA]NA,dim₂-ma šub gu₃ ab-ta-giri₁₁-da
40,Q000767.135,135,aba[who?]QP gu[voice]N de[pour]V/t,a-ba gu₃ de₂
41,Q000767.136,136,ana[what?]QP ŋal[be]V/i dud[combat]N e[leave]V/i,a-na ŋal₂ du₁₄ e₃
42,Q000767.137,137,gub[stand]V/i lu₂.IM[criminal]N gabal[fight]N du[build]V/t du[build]V/t,gub lu₂-tumu ga-ba-al du₃ du₃
43,Q000767.14,14,lu₂.IM[criminal]N umun[insect]N gada[flax]N la[hang]V/t,lu₂-tumu uman gada la₂
44,Q000767.15,15,nimsahara[fly]N kid[mat]N ašrinna[object]N sag[beat]V/t,nim-sahar-ra kid aš-rin-na si
45,Q000767.16,16,šah[pig]N uttukku[abacus]N tuku[beat]V/t,šah₂ {tug₂}u₂-tu-gu-um tuku₅-tuku₅
46,Q000767.17,17,amsi[elephant]N munu[malt]N sissig[green]V/i barag[spread]V/t,am-si munu₄ sig₇-sig₇ barag₂
