,designation,period,provenience,museum_no,accession_no,excavation_no
P254734,MLC 01854,Old Babylonian,Nippur,MLC 01854,,
P254735,MLC 01950,Old Babylonian,unknown,MLC 01950,,
P254736,MLC 02078,Old Babylonian,unknown,MLC 02078,,
P254737,MLC 02231,Old Babylonian,unknown,MLC 02231,,
P254738,MLC 00646,Old Babylonian,unknown,MLC 00646,,
P254739,MLC 00651,Old Babylonian,unknown,MLC 00651,,
P254740,MMA 86.11.404,Seleucid,Babylon,MMA 86.11.404,,
P254741,MMA 86.11.406 (+),Seleucid,Babylon,MMA 86.11.406 (+),,
P254742,MMA 86.11.407 (+),Seleucid,Babylon,MMA 86.11.407 (+),,
P254746,"MDP 27, 292",Old Babylonian,Susa,,,
P254747,"MDP 27, 293",Old Babylonian,Susa,,,
P254748,"MDP 27, 294",Old Babylonian,Susa,,,
P254749,"MDP 27, 295",Old Babylonian,Susa,,,
P254750,"MDP 27, 296",Old Babylonian,Susa,,,
P254751,"MDP 27, 297",Old Babylonian,Susa,,,
P254753,N 3891,Old Babylonian,Nippur,N 3891,,
P254754,N 3958,Old Babylonian,Nippur,N 3958,,
P254758,NBC 06343,Old Babylonian,unknown,NBC 06343,,
P254759,NBC 06344,Old Babylonian,unknown,NBC 06344,,
P254760,NBC 06349,Old Babylonian,unknown,NBC 06349,,
P254761,NBC 06778,Old Babylonian,unknown,NBC 06778,,
P254762,NBC 07332,Old Babylonian,unknown,NBC 07332,,
P254763,NBC 07334,Old Babylonian,unknown,NBC 07334,,
P254764,NBC 07336,Old Babylonian,unknown,NBC 07336,,
P254765,NBC 07338,Old Babylonian,unknown,NBC 07338,,
P254766,NBC 07343,Old Babylonian,unknown,NBC 07343,,
P254767,NBC 07344,Old Babylonian,unknown,NBC 07344,,
P254768,NBC 07345,Old Babylonian,unknown,NBC 07345,,
P254769,NBC 07346,Old Babylonian,unknown,NBC 07346,,
P254770,NBC 07347,Old Babylonian,unknown,NBC 07347,,
P254771,NBC 07701,Old Babylonian,unknown,NBC 07701,,
P254772,NBC 07934,Old Babylonian,unknown,NBC 07934,,
P254773,NBC 08061,Old Babylonian,unknown,NBC 08061,,
P254774,NBC 08082,Old Babylonian,unknown,NBC 08082,,
P254775,NBC 08138,Old Babylonian,unknown,NBC 08138,,
P254777,NCBT 01913,Old Babylonian,unknown,NCBT 01913,,
P254778,Ni —,Old Babylonian,Nippur,Ni —,,
P254780,MRAH O.0160,Old Babylonian,Kish,MRAH O.0160,,
P254781,MRAH O.0161,Old Babylonian,Kish,MRAH O.0161,,
P254782,MRAH O.0162,Old Babylonian,Kish,MRAH O.0162,,
P254783,MRAH O.0163,Old Babylonian,Kish,MRAH O.0163,,
P254784,MRAH O.0164,Old Babylonian,Kish,MRAH O.0164,,
P254785,MRAH O.0165,Old Babylonian,Kish,MRAH O.0165,,
P254786,MRAH O.0166,Old Babylonian,Kish,MRAH O.0166,,
P254789,CULC 456 (Plimpton 318),Old Babylonian,unknown,CULC 456 (Plimpton 318),,
P254790,CULC 460 (Plimpton 322),Old Babylonian,Larsa,CULC 460 (Plimpton 322),,
P254793,PTS 0247,Old Babylonian,unknown,PTS 0247,,
P254794,PTS 0052,Old Babylonian,unknown,PTS 0052,,
P254795,PTS 0259,Old Babylonian,unknown,PTS 0259,,
P254798,ROM —,Old Babylonian,unknown,ROM —,,
P254799,ROM —,Old Babylonian,unknown,ROM —,,
P254801,BM Sm 1113,Neo-Assyrian,Nineveh,BM Sm 1113,,
P254802,BM Sm 0162,Neo-Assyrian,Nineveh,BM Sm 0162,Sm 0162,
P254803,Str 362,Old Babylonian,Uruk,Str 362,,
P254804,Str 363,Old Babylonian,Uruk,Str 363,,
P254805,Str 364,Old Babylonian,Uruk,Str 364,,
P254806,Str 366,Old Babylonian,Uruk,Str 366,,
P254807,Str 367,Old Babylonian,Uruk,Str 367,,
P254808,Str 368,Old Babylonian,Uruk,Str 368,,
P254814,TM 75.G.2346,ED IIIb,Ebla,TM 75.G.2346,,TM.75.G.2346
P254816,TMS 022 (TMS 01),Old Babylonian,Susa,,,
P254817,TMS 069 (TMS 10),Old Babylonian,Susa,,,
P254818,TMS 074 (TMS 11),Old Babylonian,Susa,,,
P254819,TMS 078 (TMS 12),Old Babylonian,Susa,,,
P254820,TMS 082 (TMS 13),Old Babylonian,Susa,,,
P254821,TMS 084 (TMS 14),Old Babylonian,Susa,,,
P254822,TMS 088 (TMS 15),Old Babylonian,Susa,,,
P254823,TMS 091 (TMS 16),Old Babylonian,Susa,,,
P254824,TMS 095 (TMS 17),Old Babylonian,Susa,,,
P254825,TMS 097 (TMS 18),Old Babylonian,Susa,,,
P254826,TMS 101 (TMS 19),Old Babylonian,Susa,,,
P254827,TMS 022 (TMS 02),Old Babylonian,Susa,,,
P254828,TMS 105 (TMS 20),Old Babylonian,Susa,,,
P254829,TMS 108 (TMS 21),Old Babylonian,Susa,,,
P254830,TMS 111 (TMS 22),Old Babylonian,Susa,,,
P254831,TMS 114 (TMS 23),Old Babylonian,Susa,,,
P254832,TMS 117 (TMS 24),Old Babylonian,Susa,,,
P254833,TMS 122 (TMS 25),Old Babylonian,Susa,,,
P254834,TMS 124 (TMS 26),Old Babylonian,Susa,,,
P254835,TMS 025 (TMS 03),Old Babylonian,Susa,,,
P254836,TMS 035 (TMS 04),Old Babylonian,Susa,,,
P254837,TMS 035 (TMS 05),Old Babylonian,Susa,,,
P254838,TMS 049 (TMS 06),Old Babylonian,Susa,,,
P254839,TMS 052 (TMS 07),Old Babylonian,Susa,,,
P254840,TMS 058 (TMS 08),Old Babylonian,Susa,,,
P254841,TMS 063 (TMS 09),Old Babylonian,Susa,,,
P254846,"UET 05, 121",Old Babylonian,Ur,,,
P254847,"UET 05, 855",Old Babylonian,Ur,,,
P254848,"UET 05, 856",Old Babylonian,Ur,,,
P254849,"UET 05, 858",Old Babylonian,Ur,,,
P254850,"UET 05, 859",Old Babylonian,Ur,,,
P254851,"UET 05, 860",Old Babylonian,Ur,,,
P254852,"UET 05, 861",Old Babylonian,Ur,,,
P254853,"UET 05, 862",Old Babylonian,Ur,,,
P254854,"UET 05, 864",Old Babylonian,Ur,,,
P254855,UET 6/2 210,Old Babylonian,Ur,UET 6/2 210,,
P254856,UET 6/2 211,Old Babylonian,Ur,UET 6/2 211,,
P254857,UET 6/2 218,Old Babylonian,Ur,UET 6/2 218,,
P254858,UET 6/2 219,Old Babylonian,Ur,UET 6/2 219,,
P254859,UET 6/2 222,Old Babylonian,Ur,UET 6/2 222,,
P254860,UET 6/2 233,Old Babylonian,Ur,UET 6/2 233,,
P254861,UET 6/2 236,Old Babylonian,Ur,UET 6/2 236,,
P254862,UET 6/2 247,Old Babylonian,Ur,UET 6/2 247,,
P254863,UET 6/2 250,Old Babylonian,Ur,UET 6/2 250,,
P254864,UET 6/2 254,Old Babylonian,Ur,UET 6/2 254,,
P254865,UET 6/2 257,Old Babylonian,Ur,UET 6/2 257,,
P254866,UET 6/2 265,Old Babylonian,Ur,UET 6/2 265,,
P254867,UET 6/2 267,Old Babylonian,Ur,UET 6/2 267,,
P254868,UET 6/2 268,Old Babylonian,Ur,UET 6/2 268,,
P254869,UET 6/2 269,Old Babylonian,Ur,UET 6/2 269,,
P254870,UET 6/2 274,Old Babylonian,Ur,UET 6/2 274,,
P254871,UET 6/2 275,Old Babylonian,Ur,UET 6/2 275,,
P254872,UET 6/2 279,Old Babylonian,Ur,UET 6/2 279,,
P254873,UET 6/2 281,Old Babylonian,Ur,UET 6/2 281,,
P254874,UET 6/2 282,Old Babylonian,Ur,UET 6/2 282,,
P254875,UET 6/2 290,Old Babylonian,Ur,UET 6/2 290,,
P254876,UET 6/2 291,Old Babylonian,Ur,UET 6/2 291,,
P254877,UET 6/2 293,Old Babylonian,Ur,UET 6/2 293,,
P254878,UET 6/2 295,Old Babylonian,Ur,UET 6/2 295,,
P254879,UET 6/2 297,Old Babylonian,Ur,UET 6/2 297,,
P254880,UET 6/2 298,Old Babylonian,Ur,UET 6/2 298,,
P254881,UET 6/2 300,Old Babylonian,Ur,UET 6/2 300,,
P254882,UET 6/2 301,Old Babylonian,Ur,UET 6/2 301,,
P254883,UET 6/2 304,Old Babylonian,Ur,UET 6/2 304,,
P254885,UET 6/2 311,Old Babylonian,Ur,UET 6/2 311,,
P254886,UET 6/2 313,Old Babylonian,Ur,UET 6/2 313,,
P254887,UET 6/2 318,Old Babylonian,Ur,UET 6/2 318,,
P254888,UET 6/2 320,Old Babylonian,Ur,UET 6/2 320,,
P254889,UET 6/2 321,Old Babylonian,Ur,UET 6/2 321,,
P254890,UET 6/2 322,Old Babylonian,Ur,UET 6/2 322,,
P254891,UET 6/2 330,Old Babylonian,Ur,UET 6/2 330,,
P254892,UET 6/2 343,Old Babylonian,Ur,UET 6/2 343,,
P254893,UET 6/2 367,Old Babylonian,Ur,UET 6/2 367,,
P254894,UET 6/2 371,Old Babylonian,Ur,UET 6/2 371,,
P254895,UET 6/2 387,Old Babylonian,Ur,UET 6/2 387,,
P254900,UM 29-15-192,Old Babylonian,Nippur,UM 29-15-192,,
P254904,IM 057828,Old Babylonian,Nippur,IM 057828,,2N-T 030
P254905,uncertain,Old Babylonian,unknown,uncertain,,
P254906,"RA 012, 197",Old Babylonian,unknown,,,
P254907,VAT 01221,Old Babylonian,unknown,VAT 01221,,
P254908,VAT 15375,Old Babylonian,unknown,VAT 15375,,
P254909,VAT 15376,Old Babylonian,unknown,VAT 15376,,
P254910,VAT 02117,unclear,unknown,VAT 02117,,
P254911,VAT 02125,Old Babylonian,unknown,VAT 02125,,
P254912,VAT 00253,Old Babylonian,unknown,VAT 00253,,
P254913,VAT 02704,Old Babylonian,unknown,VAT 02704,,
P254914,VAT 02898,Old Babylonian,unknown,VAT 02898,,
P254915,VAT 03462,Standard Babylonian,unknown,VAT 03462,,
P254916,VAT 03463,unclear,unknown,VAT 03463,,
P254918,VAT 05457,Old Babylonian,unknown,VAT 05457,,
P254919,VAT 06220,Old Babylonian,unknown,VAT 06220,,
P254920,VAT 06469,Old Babylonian,unknown,VAT 06469,,
P254921,VAT 06505,Old Babylonian,unknown,VAT 06505,,
P254922,VAT 06546,Old Babylonian,unknown,VAT 06546,,
P254923,VAT 06597,Old Babylonian,Sippar,VAT 06597,,
P254925,VAT 00672,Old Babylonian,unknown,VAT 00672,,
P254926,VAT 06786,Old Babylonian,unknown,VAT 06786,,
P254927,VAT 07002,Old Babylonian,unknown,VAT 07002,,
P254928,VAT 07528,Old Babylonian,Uruk,VAT 07528,,
P254929,VAT 07530,Old Babylonian,Uruk,VAT 07530,,
P254930,VAT 07531,Old Babylonian,Uruk,VAT 07531,,
P254931,VAT 07532,Old Babylonian,Uruk,VAT 07532,,
P254932,VAT 07535,Old Babylonian,Uruk,VAT 07535,,
P254933,VAT 07537,Old Babylonian,unknown,VAT 07537,,
P254934,VAT 07620,Old Babylonian,Uruk,VAT 07620,,
P254935,VAT 07621,Old Babylonian,Uruk,VAT 07621,,
P254936,VAT 07848,Achaemenid,Uruk,VAT 07848,,
P254937,VAT 07858,Old Babylonian,unknown,VAT 07858,,
P254938,VAT 07892,Old Babylonian,unknown,VAT 07892,,
P254939,VAT 07895,Old Babylonian,unknown,VAT 07895,,
P254940,VAT 07896,Old Babylonian,unknown,VAT 07896,,
P254941,VAT 08100,Old Babylonian,unknown,VAT 08100,,
P254942,VAT 08167,Old Babylonian,unknown,VAT 08167,,
P254943,VAT 08389,Old Babylonian,unknown,VAT 08389,,
P254944,VAT 08390,Old Babylonian,unknown,VAT 08390,,
P254945,VAT 08391,Old Babylonian,unknown,VAT 08391,,
P254946,VAT 08492,Neo-Babylonian,Larsa,VAT 08492,,
P254947,VAT 08512,Old Babylonian,Larsa,VAT 08512,,
P254948,VAT 08520,Old Babylonian,unknown,VAT 08520,,
P254949,VAT 08521,Old Babylonian,unknown,VAT 08521,,
P254950,VAT 08522,Old Babylonian,unknown,VAT 08522,,
P254951,VAT 08523,Old Babylonian,unknown,VAT 08523,,
P254952,VAT 08528,Old Babylonian,unknown,VAT 08528,,
P254955,VAT BE,Old Babylonian,Babylon,VAT BE,,
P254956,Ist Uruk 0091 +,Seleucid,Uruk,Ist Uruk 0091 +,,
P254958,Ash 1923.366,Old Babylonian,unknown,Ash 1923.366,,
P254959,Ash 1924.0796,Neo-Babylonian,Kish,Ash 1924.0796,,
P254962,W 23291-X,Achaemenid,Uruk,,,W 23291-X
P254964,YBC 10522,Old Babylonian,unknown,YBC 10522,,
P254965,YBC 10529,Old Babylonian,unknown,YBC 10529,,
P254966,YBC 10722,Old Babylonian,unknown,YBC 10722,,
P254967,YBC 10801,Old Babylonian,unknown,YBC 10801,,
P254968,YBC 10802,Old Babylonian,unknown,YBC 10802,,
P254969,YBC 11094,Old Babylonian,unknown,YBC 11094,,
P254970,YBC 11120,Old Babylonian,unknown,YBC 11120,,
P254971,YBC 11125,Old Babylonian,unknown,YBC 11125,,
P254972,YBC 11126,Old Babylonian,unknown,YBC 11126,,
P254973,YBC 11127,Old Babylonian,unknown,YBC 11127,,
P254974,YBC 11138,Old Babylonian,unknown,YBC 11138,,
P254975,YBC 11924,Old Babylonian,unknown,YBC 11924,,
P254976,YBC 01839,Old Babylonian,unknown,YBC 01839,,
P254977,YBC 04186,Old Babylonian,unknown,YBC 04186,,
P254978,YBC 04608,Old Babylonian,unknown,YBC 04608,,
P254979,YBC 04612,Old Babylonian,unknown,YBC 04612,,
P254980,YBC 04633,Old Babylonian,unknown,YBC 04633,,
P254981,YBC 04652,Old Babylonian,unknown,YBC 04652,,
P254982,YBC 04657,Old Babylonian,unknown,YBC 04657,,
P254983,YBC 04662,Old Babylonian,unknown,YBC 04662,,
P254984,YBC 04663,Old Babylonian,unknown,YBC 04663,,
P254985,YBC 04666,Old Babylonian,unknown,YBC 04666,,
P254986,YBC 04668,Old Babylonian,unknown,YBC 04668,,
P254987,YBC 04669,Old Babylonian,unknown,YBC 04669,,
P254988,YBC 04670,Old Babylonian,unknown,YBC 04670,,
P254989,YBC 04673,Old Babylonian,unknown,YBC 04673,,
P254990,YBC 04675,Old Babylonian,unknown,YBC 04675,,
P254991,YBC 04676,Old Babylonian,unknown,YBC 04676,,
P254992,YBC 04678,Old Babylonian,unknown,YBC 04678,,
P254993,YBC 04681,Old Babylonian,unknown,YBC 04681,,
P254994,YBC 04682,Old Babylonian,unknown,YBC 04682,,
P254995,YBC 04683,Old Babylonian,unknown,YBC 04683,,
P254996,YBC 04684,Old Babylonian,unknown,YBC 04684,,
P254997,YBC 04685,Old Babylonian,unknown,YBC 04685,,
P254998,YBC 04686,Old Babylonian,unknown,YBC 04686,,
P254999,YBC 04687,Old Babylonian,unknown,YBC 04687,,
P255000,YBC 04688,Old Babylonian,unknown,YBC 04688,,
P255001,YBC 04689,Old Babylonian,unknown,YBC 04689,,
P255002,YBC 04690,Old Babylonian,unknown,YBC 04690,,
P255003,YBC 04691,Old Babylonian,unknown,YBC 04691,,
P255004,YBC 04692,Old Babylonian,unknown,YBC 04692,,
P255005,YBC 04693,Old Babylonian,unknown,YBC 04693,,
P255006,YBC 04694,Old Babylonian,unknown,YBC 04694,,
P255007,YBC 04695,Old Babylonian,unknown,YBC 04695,,
P255008,YBC 04696,Old Babylonian,unknown,YBC 04696,,
P255009,YBC 04697,Old Babylonian,unknown,YBC 04697,,
P255010,YBC 04698,Old Babylonian,unknown,YBC 04698,,
P255011,YBC 04699,Old Babylonian,unknown,YBC 04699,,
P255012,YBC 04702,Old Babylonian,unknown,YBC 04702,,
P255013,YBC 04704,Old Babylonian,unknown,YBC 04704,,
P255014,YBC 04706,Old Babylonian,unknown,YBC 04706,,
P255015,YBC 04708,Old Babylonian,unknown,YBC 04708,,
P255016,YBC 04709,Old Babylonian,unknown,YBC 04709,,
P255017,YBC 04710,Old Babylonian,unknown,YBC 04710,,
P255018,YBC 04711,Old Babylonian,unknown,YBC 04711,,
P255019,YBC 04712,Old Babylonian,unknown,YBC 04712,,
P255020,YBC 04713,Old Babylonian,unknown,YBC 04713,,
P255021,YBC 04714,Old Babylonian,unknown,YBC 04714,,
P255022,YBC 04715,Old Babylonian,unknown,YBC 04715,,
P255023,YBC 04716,Old Babylonian,unknown,YBC 04716,,
P255024,YBC 04717,Old Babylonian,unknown,YBC 04717,,
P255025,YBC 04718,Old Babylonian,unknown,YBC 04718,,
P255026,YBC 05022,Old Babylonian,unknown,YBC 05022,,
P255027,YBC 05037,Old Babylonian,unknown,YBC 05037,,
P255028,YBC 06048,Old Babylonian,unknown,YBC 06048,,
P255029,YBC 06295,Old Babylonian,unknown,YBC 06295,,
P255030,YBC 06403,Old Babylonian,unknown,YBC 06403,,
P255031,YBC 06492,Old Babylonian,unknown,YBC 06492,,
P255032,YBC 06504,Old Babylonian,unknown,YBC 06504,,
P255033,YBC 06632,Old Babylonian,unknown,YBC 06632,,
P255034,YBC 06705,Old Babylonian,unknown,YBC 06705,,
P255035,YBC 06739,Old Babylonian,unknown,YBC 06739,,
P255036,YBC 06949,Old Babylonian,unknown,YBC 06949,,
P255037,YBC 06950,Old Babylonian,unknown,YBC 06950,,
P255038,YBC 06951,Old Babylonian,unknown,YBC 06951,,
P255039,YBC 06952,Old Babylonian,unknown,YBC 06952,,
P255040,YBC 06953,Old Babylonian,unknown,YBC 06953,,
P255041,YBC 06967,Old Babylonian,unknown,YBC 06967,,
P255042,YBC 07164,Old Babylonian,unknown,YBC 07164,,
P255043,YBC 07234,Old Babylonian,unknown,YBC 07234,,
P255044,YBC 07235,Old Babylonian,unknown,YBC 07235,,
P255045,YBC 07243,Old Babylonian,unknown,YBC 07243,,
P255046,YBC 07273,Old Babylonian,unknown,YBC 07273,,
P255047,YBC 07284,Old Babylonian,unknown,YBC 07284,,
P255048,YBC 07289,Old Babylonian,unknown,YBC 07289,,
P255049,YBC 07290,Old Babylonian,unknown,YBC 07290,,
P255050,YBC 07294,Old Babylonian,unknown,YBC 07294,,
P255051,YBC 07302,Old Babylonian,unknown,YBC 07302,,
P255052,YBC 07303,Old Babylonian,unknown,YBC 07303,,
P255053,YBC 07326,Old Babylonian,unknown,YBC 07326,,
P255054,YBC 07353,Old Babylonian,unknown,YBC 07353,,
P255055,YBC 07354,Old Babylonian,unknown,YBC 07354,,
P255056,YBC 07355,Old Babylonian,unknown,YBC 07355,,
P255058,YBC 07358,Old Babylonian,unknown,YBC 07358,,
P255060,YBC 07997,Old Babylonian,unknown,YBC 07997,,
P255061,YBC 08306,Old Babylonian,unknown,YBC 08306,,
P255062,YBC 08456,Old Babylonian,unknown,YBC 08456,,
P255063,YBC 08588,Old Babylonian,unknown,YBC 08588,,
P255064,YBC 08595,Old Babylonian,unknown,YBC 08595,,
P255065,YBC 08600,Old Babylonian,unknown,YBC 08600,,
P255066,YBC 08617,Old Babylonian,unknown,YBC 08617,,
P255067,YBC 08633,Old Babylonian,unknown,YBC 08633,,
P255068,YBC 09852,Old Babylonian,unknown,YBC 09852,,
P255069,YBC 09854,Old Babylonian,unknown,YBC 09854,,
P255070,YBC 09856,Old Babylonian,unknown,YBC 09856,,
P255071,YBC 09874,Old Babylonian,unknown,YBC 09874,,
P255072,YBC 09883,Old Babylonian,unknown,YBC 09883,,
P255168,UM 29-13-173,Old Babylonian,Nippur,UM 29-13-173,,
P256427,UM 29-15-709,Old Babylonian,Nippur,UM 29-15-709,,
P256904,UM 29-16-401,Old Babylonian,Nippur,UM 29-16-401,,
P256992,UM 29-16-504,Old Babylonian,Nippur,UM 29-16-504,,
P257381,UM 55-21-289,Old Babylonian,Nippur,UM 55-21-289,,3N-T 261
P257396,UM 55-21-357,Old Babylonian,Nippur,UM 55-21-357,,3N-T 605
P257399,UM 55-21-360,Old Babylonian,Nippur,UM 55-21-360,,3N-T 608
P257557,Ist Ni 00374,Ur III,Nippur,Ist Ni 00374,,
P257608,CBS 00043,Old Babylonian,unknown,CBS 00043,,
P257719,CBS 00154 +,Old Babylonian,unknown,CBS 00154 +,,
P257730,CBS 00165,Old Babylonian,unknown,CBS 00165,,
P266196,CBS 11019,Neo-Babylonian,Nippur,CBS 11019,,
P266208,CBS 11032,Neo-Babylonian,Nippur,CBS 11032,,
P266742,CBS 11601,Old Babylonian,Nippur,CBS 11601,,
P266822,CBS 11681,Old Babylonian,Nippur,CBS 11681,,
P269999,CBS 19761 +,Old Babylonian,Nippur,CBS 19761 +,,
P270862,Ash 1921.1154,Middle Babylonian,Amarna,Ash 1921.1154,,
P273274,BM 017403,Old Babylonian,unknown,BM 017403,,
P273275,BM 017567,Old Babylonian,unknown,BM 017567,,
P273276,BM 080150,Old Babylonian,unknown,BM 080150,"Bu 1891-05-09, 263",
P273569,MMA 57.16.002,Old Babylonian,unknown,MMA 57.16.002,,
P274479,Ist Ni 03531,,Nippur,Ist Ni 03531,,
P275998,N 0837,Old Babylonian,Nippur,N 0837,,
P277942,N 2873,Standard Babylonian,Nippur,N 2873,,
P278884,N 3914,Old Babylonian,Nippur,N 3914,,
P278927,N 3971,Old Babylonian,Nippur,N 3971,,
P279141,N 4281,Old Babylonian,Nippur,N 4281,,
P285612,VAT 09840,Neo-Assyrian,Assur,VAT 09840,,
P292294,NBC 02513,Old Babylonian,unknown,NBC 02513,,
P296225,MLC 01531,Old Babylonian,unknown,MLC 01531,,
P308302,YBC 07359,Old Babylonian,unknown,YBC 07359,,
P332884,Di 0098 (+),Old Babylonian,Sippar Amnanum,Di 0098 (+),,Di 0098 (+) 0099
P332886,Di 0095,Old Babylonian,Sippar Amnanum,Di 0095,,Di 0095
P332887,Di 0101 (+),Old Babylonian,Sippar Amnanum,Di 0101 (+),,Di 0101 (+) Di 0108
P332940,Ist Ni 03909,Old Babylonian,Nippur,Ist Ni 03909,,
P338713,SU 52/5,Neo-Assyrian,Sultantepe,,,SU 52/5
P345916,IM 073355,Old Babylonian,Larsa,IM 073355,,L.33.098
P345925,IM 073365,Old Babylonian,Larsa,IM 073365,,L.33.121
P345939,IM 073381,Old Babylonian,Larsa,IM 073381,,L.33.191
P346722,UET 6/3 685 (193),Old Babylonian,Ur,UET 6/3 685 (193),,
P346723,UET 6/3 686 (217),Old Babylonian,Ur,UET 6/3 686 (217),,
P346901,UET 6/3 864 (378),Old Babylonian,Ur,UET 6/3 864 (378),,
P346902,UET 6/3 865 (452),Old Babylonian,Ur,UET 6/3 865 (452),,
P346910,UET 6/3 873 (120),Old Babylonian,Ur,UET 6/3 873 (120),,
P346911,UET 6/3 874 (374),Old Babylonian,Ur,UET 6/3 874 (374),,
P346912,UET 6/3 875 (385),Old Babylonian,Ur,UET 6/3 875 (385),,
P346913,UET 6/3 876 (466),Old Babylonian,Ur,UET 6/3 876 (466),,
P346914,UET 6/3 877 (628),Old Babylonian,Ur,UET 6/3 877 (628),,U 10144
P347073,"UET 07, 114",Old Babylonian,Ur,,,
P347074,"UET 07, 115",Old Babylonian,Ur,,,
P347075,U 07803,Old Babylonian,Ur,,,U 07803
P347076,"UET 07, 117",Old Babylonian,Ur,,,
P347111,"UET 07, 155",Neo-Babylonian,Ur,,,
P347481,Ash 1923.414,Old Babylonian,Larsa,Ash 1923.414,,
P347486,Ash 1924.0447,Old Babylonian,Marad,Ash 1924.0447,,
P347492,Ash 1924.0586,Old Babylonian,Kish,Ash 1924.0586,,
P347500,Ash 1924.1341,Old Babylonian,Kish,Ash 1924.1341,,
P347512,Ash 1930.365,Old Babylonian,Kish,Ash 1930.365,,
P347732,Ash 1924.1464,Neo-Babylonian,Kish,Ash 1924.1464,,
P347784,Ash 1924.1847,Neo-Babylonian,Kish,Ash 1924.1847,,
P348522,W 22260a,Seleucid,Uruk,,,W 22260a
P348523,W 22309a +,Seleucid,Uruk,,,W 22309a +
P348765,W 23273,Achaemenid,Uruk,,,W 23273
P348766,W 23281,Achaemenid,Uruk,,,W 23281
P348767,W 23283 +,Achaemenid,Uruk,,,W 23283 +
P348768,W 23291,Achaemenid,Uruk,,,W 23291
P348769,W 23021,Achaemenid,Uruk,,,W 23021
P348770,W 22715/2,Achaemenid,Uruk,,,W 22715/2
P348898,W 23016,Achaemenid,Uruk,,,W 23016
P348899,W 22661/3a +,Seleucid,Uruk,,,W 22661/3a +
P349259,W 16743k,Old Babylonian,Uruk,,,W 16743k
P349270,W 16603af*,Old Babylonian,Uruk,,,W 16603af*
P349271,VAT 21638,Old Babylonian,Uruk,VAT 21638,,*W 16603s
P349272,VAT 21565,Old Babylonian,Uruk,VAT 21565,,W 16743ck
P349273,VAT 21620,Old Babylonian,Uruk,VAT 21620,,(none)
P349274,W 16603b*,Old Babylonian,Uruk,,,W 16603b*
P349275,VAT 21586,Old Babylonian,Uruk,VAT 21586,,W 16743cq
P349276,W 16743ay,Old Babylonian,Uruk,,,W 16743ay
P349279,W 16743fy,Old Babylonian,Uruk,,,W 16743fy
P349282,VAT 21636,Old Babylonian,Uruk,VAT 21636,,*W 16603an
P349542,BM 053174 +,Neo-Babylonian,unknown,BM 053174 +,,
P349543,BM 053178,Neo-Babylonian,unknown,BM 053178,,
P349552,BM 053563,Neo-Babylonian,unknown,BM 053563,,
P349566,BM 053939,Neo-Babylonian,unknown,BM 053939,,
P349612,BM 059375,Neo-Babylonian,unknown,BM 059375,,
P349624,BM 060185 +,Neo-Babylonian,unknown,BM 060185 +,,
P349652,BM 065671,Neo-Babylonian,unknown,BM 065671,,
P349675,BM 066894 +,Neo-Babylonian,unknown,BM 066894 +,,
P349697,BM 068367,Neo-Babylonian,unknown,BM 068367,,
P349746,BM 071971 +,Neo-Babylonian,unknown,BM 071971 +,,
P349764,BM 072553,Neo-Babylonian,unknown,BM 072553,,
P349784,BM 074049,Neo-Babylonian,unknown,BM 074049,,
P349888,HT 140,Middle Babylonian,Haft Tepe,,,HT 140
P349890,HT 142,Middle Babylonian,Haft Tepe,,,HT 142
P349900,HT 615,Middle Babylonian,Haft Tepe,,,HT 615
P356054,BM 080209,Old Babylonian,unknown,BM 080209,,
P356432,"3N-T 917, 378",Old Babylonian,Nippur,"3N-T 917, 378",,"3N-T 917, 378"
P356487,"3N-T 918, 432",Old Babylonian,Nippur,"3N-T 918, 432",,"3N-T 918, 432"
P356526,"3N-T 919, 474",Old Babylonian,Nippur,"3N-T 919, 474",,"3N-T 919, 474"
P357323,Ass 13058e,Old Assyrian,Assur,,,Ass 13058e
P357324,Ass 13058f,Old Assyrian,Assur,,,Ass 13058f
P357325,Ass 13058i,Old Assyrian,Assur,,,Ass 13058i
P357326,Ass 13058k,Old Assyrian,Assur,,,Ass 13058k
P357327,Ass 13058g,Old Assyrian,Assur,,,Ass 13058g
P357328,Ist A 1001,Old Assyrian,Assur,Ist A 1001,,Ass 14479
P357329,BM 106425,Ur III,Umma,BM 106425,"1913-04-16, 1257",
P357330,BM 106444,Ur III,Umma,BM 106444,"1913-04-16, 1276",
P357331,Kt 84/k 3,Old Assyrian,Kultepe,,,Kt 84/k 3
P357332,Kt a/k 178,Old Assyrian,Kultepe,,,Kt a/k 178
P360846,Kt t/k 76 + 79,Old Assyrian,Kultepe,,,Kt t/k 76 + 79
P363704,AO 06555,Seleucid,Uruk,AO 06555,,
P363773,BM 034081 +,Seleucid,Babylon,BM 034081 +,"Sp, 179 +",
P363777,BM 034757,Seleucid,Babylon,BM 034757,"Sp 2, 248",
P364375,BM 034612,Seleucid,Babylon,BM 034612,"Sp 2, 091",
P364376,BM 034762,Seleucid,Babylon,BM 034762,"Sp 2, 255",
P364377,BM 034596,Seleucid,Babylon,BM 034596,"Sp 2, 070",
P364378,BM 034635,Seleucid,Babylon,BM 034635,"Sp 2, 118",
P364379,BM 034577,Seleucid,Babylon,BM 034577,"Sp 2, 049",
P364380,BM 045668,Seleucid,Babylon,BM 045668,"1881-07-06, 063",
